,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error
48,6/29/2022,0.28715625,0.273114583,0.280298611,0.264190972,0.295090278,0.317513889,0.265538194,0.292861111,0.251086806,0.277579861,22.79520833,62.55802083,0.000292572,0.0003334,0.000205046,0.000127174,0.000160293,0.000180285,0.000283538,0.000102082,0.000159819,0.000683527,0.991771143,2.86021095,-0.007576389,0.019746528,-0.022027778,0.004465278,0.000283538,0.000102082,0.000159819,0.000683527
49,6/30/2022,0.286875,0.273520833,0.281243056,0.261798611,0.295333333,0.319163194,0.266440972,0.292604167,0.251180556,0.289392361,20.02854167,73.873125,0.000144527,0.000128229,7.61E-05,8.88E-05,0.000100559,6.17E-05,0.000102061,0.000210721,0.00010632,0.000125559,0.512280205,2.088020475,-0.007079861,0.019083333,-0.022340278,0.015871528,0.000102061,0.000210721,0.00010632,0.000125559
50,7/1/2022,0.28678125,0.27253125,0.279927083,0.260520833,0.294579861,0.317628472,0.264920139,0.292333333,0.250579861,0.286979167,20.96791667,69.848125,0.000422815,0.000473637,0.000255362,0.000122794,0.000149825,0.000168619,0.000387856,0.000257064,0.000181788,0.000178785,0.791596833,2.20288311,-0.007611111,0.019802083,-0.021951389,0.014447917,0.000387856,0.000257064,0.000181788,0.000178785
51,7/2/2022,0.28865625,0.27459375,0.281184028,0.25996875,0.295263889,0.318243056,0.266204861,0.292857639,0.251059028,0.283871528,20.79770833,70.316875,0.000381832,0.000459447,0.00027341,0.000124397,0.000161914,0.000179035,0.000399633,0.00023785,0.000173893,0.000166035,0.881037137,2.528506564,-0.008388889,0.018263889,-0.023534722,0.009277778,0.000399633,0.00023785,0.000173893,0.000166035
52,7/3/2022,0.29034375,0.276041667,0.282416667,0.260579861,0.29584375,0.319079861,0.266989583,0.292197917,0.251277778,0.282256944,21.19020833,71.84333333,0.000325397,0.000376071,0.000238222,0.00032272,0.000147093,0.000147158,0.00032678,0.00022613,0.000167517,0.000234275,0.769298168,2.227835891,-0.009052083,0.01615625,-0.024763889,0.006215278,0.00032678,0.00022613,0.000167517,0.000234275
53,7/4/2022,0.289708333,0.2750625,0.281888889,0.262472222,0.295909722,0.318694444,0.266006944,0.291395833,0.251170139,0.280371528,22.69239583,64.91166667,0.0003425,0.00040088,0.000236459,0.000101123,0.000163827,0.000148962,0.000331904,0.000162019,0.00017121,0.000198978,0.867696003,2.513968815,-0.009055556,0.016333333,-0.023892361,0.005309028,0.000331904,0.000162019,0.00017121,0.000198978
54,7/5/2022,0.289552083,0.274614583,0.282059028,0.26265625,0.296690972,0.3191875,0.265805556,0.294333333,0.251576389,0.278868056,21.55291667,71.04166667,0.000245963,0.00026753,0.000149316,0.000252254,0.000123529,0.000120288,0.000204104,0.000326016,0.000138785,0.000179171,0.762610129,2.176728128,-0.008809028,0.01971875,-0.023038194,0.004253472,0.000204104,0.000326016,0.000138785,0.000179171
55,7/6/2022,0.28975,0.27853125,0.283298611,0.269236111,0.29696875,0.321135417,0.267951389,0.297947917,0.251680556,0.289375,21.0365625,80.7825,0.000337366,0.000467344,0.00025808,0.000898991,0.000108942,0.000281261,0.000391584,0.000484137,0.000139261,0.001943715,0.524069975,1.754048275,-0.010579861,0.019416667,-0.026850694,0.01084375,0.000391584,0.000484137,0.000139261,0.001943715
56,7/7/2022,0.294979167,0.287364583,0.289993056,0.285677083,0.296909722,0.331309028,0.275625,0.303642361,0.251590278,0.336538194,20.93427083,78.55822917,0.000796095,0.001224756,0.000911589,0.000773171,0.000175877,0.001054939,0.001209895,0.000529543,0.000206762,0.00239559,0.772256061,2.361796451,-0.011739583,0.016277778,-0.035774306,0.049173611,0.001209895,0.000529543,0.000206762,0.00239559
57,7/8/2022,0.300375,0.2933125,0.296572917,0.292256944,0.297572917,0.342385417,0.283854167,0.306802083,0.252190972,0.354319444,23.50635417,64.6065625,0.000323173,0.000399921,0.000223373,0.000155979,0.000183087,0.000142068,0.000288963,0.000207884,0.000205833,0.000301471,0.907706082,2.848958608,-0.009458333,0.013489583,-0.041121528,0.061006944,0.000288963,0.000207884,0.000205833,0.000301471
